ㄅ b
ㄒㄩㄥˊ xiong2
ㄒㄩㄥˋ xiong4
ㄓ zhi
ㄓˇ zhi3
ㄓˊ zhi2
ㄓˋ zhi4
ㄓㄚ zha
ㄓㄚˇ zha3
ㄓㄚˊ zha2
ㄓㄚˋ zha4
ㄓㄜ zhe
ㄓㄜˇ zhe3
ㄓㄜˊ zhe2
ㄓㄜˋ zhe4
ㄓㄜ˙ zhe5
ㄓㄞ zhai
ㄓㄞˇ zhai3
ㄓㄞˊ zhai2
ㄓㄞˋ zhai4
ㄓㄟˋ zhei4
ㄓㄠ zhao
ㄓㄠˇ zhao3
ㄓㄠˊ zhao2
ㄓㄠˋ zhao4
ㄓㄡ zhou
ㄓㄡˇ zhou3
ㄓㄡˊ zhou2
ㄓㄡˋ zhou4
ㄓㄢ zhan
ㄓㄢˇ zhan3
ㄓㄢˋ zhan4
ㄓㄣ zhen
ㄓㄣˇ zhen3
ㄓㄣˊ zhen2
ㄓㄣˋ zhen4
ㄓㄤ zhang
ㄓㄤˇ zhang3
ㄓㄤˋ zhang4
ㄓㄥ zheng
ㄓㄥˇ zheng3
ㄓㄥˋ zheng4
ㄓㄨ zhu
ㄓㄨˇ zhu3
ㄓㄨˊ zhu2
ㄓㄨˋ zhu4
ㄓㄨㄚ zhua
ㄓㄨㄚˇ zhua3
ㄓㄨㄛ zhuo
ㄓㄨㄛˊ zhuo2
ㄓㄨㄛˋ zhuo4
ㄓㄨㄞ zhuai
ㄓㄨㄞˇ zhuai3
ㄓㄨㄞˋ zhuai4
ㄓㄨㄟ zhui
ㄓㄨㄟˇ zhui3
ㄓㄨㄟˋ zhui4
ㄓㄨㄢ zhuan
ㄓㄨㄢˇ zhuan3
ㄓㄨㄢˋ zhuan4
ㄓㄨㄣ zhun
ㄓㄨㄣˇ zhun3
ㄓㄨㄣˋ zhun4
ㄓㄨㄤ zhuang
ㄓㄨㄤˇ zhuang3
ㄓㄨㄤˋ zhuang4
ㄓㄨㄥ zhong
ㄓㄨㄥˇ zhong3
ㄓㄨㄥˊ zhong2
ㄓㄨㄥˋ zhong4
ㄔ chi
ㄔˇ chi3
ㄔˊ chi2
ㄔˋ chi4
ㄔㄚ cha
ㄔㄚˇ cha3
ㄔㄚˊ cha2
ㄔㄚˋ cha4
ㄔㄜ che
ㄔㄜˇ che3
ㄔㄜˋ che4
ㄔㄞ chai
ㄔㄞˇ chai3
ㄔㄞˊ chai2
ㄔㄞˋ chai4
ㄔㄠ chao
ㄔㄠˇ chao3
ㄔㄠˊ chao2
ㄔㄠˋ chao4
ㄔㄡ chou
ㄔㄡˇ chou3
ㄔㄡˊ chou2
ㄔㄡˋ chou4
ㄔㄢ chan
ㄔㄢˇ chan3
ㄔㄢˊ chan2
ㄔㄢˋ chan4
ㄔㄣ chen
ㄔㄣˇ chen3
ㄔㄣˊ chen2
ㄔㄣˋ chen4
ㄔㄣ˙ chen5
ㄔㄤ chang
ㄔㄤˇ chang3
ㄔㄤˊ chang2
ㄔㄤˋ chang4
ㄔㄥ cheng
ㄔㄥˇ cheng3
ㄔㄥˊ cheng2
ㄔㄥˋ cheng4
ㄔㄧˋ chi4
ㄔㄨ chu
ㄔㄨˇ chu3
ㄔㄨˊ chu2
ㄔㄨˋ chu4
ㄔㄨㄚ chua
ㄔㄨㄚˇ chua3
ㄔㄨㄚˋ chua4
ㄔㄨㄛ chuo
ㄔㄨㄛˋ chuo4
ㄔㄨㄞ chuai
ㄔㄨㄞˇ chuai3
ㄔㄨㄞˊ chuai2
ㄔㄨㄞˋ chuai4
ㄔㄨㄟ chui
ㄔㄨㄟˇ chui3
ㄔㄨㄟˊ chui2
ㄔㄨㄟˋ chui4
ㄔㄨㄢ chuan
ㄔㄨㄢˇ chuan3
ㄔㄨㄢˊ chuan2
ㄔㄨㄢˋ chuan4
ㄔㄨㄣ chun
ㄔㄨㄣˇ chun3
ㄔㄨㄣˊ chun2
ㄔㄨㄤ chuang
ㄔㄨㄤˇ chuang3
ㄔㄨㄤˊ chuang2
ㄔㄨㄤˋ chuang4
ㄔㄨㄥ chong
ㄔㄨㄥˇ chong3
ㄔㄨㄥˊ chong2
ㄔㄨㄥˋ chong4
ㄕ shi
ㄕˇ shi3
ㄕˊ shi2
ㄕˋ shi4
ㄕ˙ shi5
ㄕㄚ sha
ㄕㄚˇ sha3
ㄕㄚˊ sha2
ㄕㄚˋ sha4
ㄕㄚ˙ sha5
ㄕㄜ she
ㄕㄜˇ she3
ㄕㄜˊ she2
ㄕㄜˋ she4
ㄕㄞ shai
ㄕㄞˇ shai3
ㄕㄞˋ shai4
ㄕㄟˊ shei2
ㄕㄠ shao
ㄕㄠˇ shao3
ㄕㄠˊ shao2
ㄕㄠˋ shao4
ㄕㄡ shou
ㄕㄡˇ shou3
ㄕㄡˊ shou2
ㄕㄡˋ shou4
ㄕㄢ shan
ㄕㄢˇ shan3
ㄕㄢˊ shan2
ㄕㄢˋ shan4
ㄕㄣ shen
ㄕㄣˇ shen3
ㄕㄣˊ shen2
ㄕㄣˋ shen4
ㄕㄤ shang
ㄕㄤˇ shang3
ㄕㄤˋ shang4
ㄕㄤ˙ shang5
ㄕㄥ sheng
ㄕㄥˇ sheng3
ㄕㄥˊ sheng2
ㄕㄥˋ sheng4
ㄕㄨ shu
ㄕㄨˇ shu3
ㄕㄨˊ shu2
ㄕㄨˋ shu4
ㄕㄨㄚ shua
ㄕㄨㄚˇ shua3
ㄕㄨㄚˋ shua4
ㄕㄨㄛ shuo
ㄕㄨㄛˋ shuo4
ㄕㄨㄞ shuai
ㄕㄨㄞˇ shuai3
ㄕㄨㄞˋ shuai4
ㄕㄨㄟ shui
ㄕㄨㄟˇ shui3
ㄕㄨㄟˊ shui2
ㄕㄨㄟˋ shui4
ㄕㄨㄢ shuan
ㄕㄨㄢˋ shuan4
ㄕㄨㄣˇ shun3
ㄕㄨㄣˋ shun4
ㄕㄨㄤ shuang
ㄕㄨㄤˇ shuang3
ㄕㄨㄤˊ shuang2
ㄕㄨㄤˋ shuang4
ㄖ ri
ㄖˋ ri4
ㄖㄜˇ re3
ㄖㄜˋ re4
ㄖㄠˇ rao3
ㄖㄠˊ rao2
ㄖㄠˋ rao4
ㄖㄡˇ rou3
ㄖㄡˊ rou2
ㄖㄡˋ rou4
ㄖㄢˇ ran3
ㄖㄢˊ ran2
ㄖㄢˋ ran4
ㄖㄣˇ ren3
ㄖㄣˊ ren2
ㄖㄣˋ ren4
ㄖㄤ rang
ㄖㄤˇ rang3
ㄖㄤˊ rang2
ㄖㄤˋ rang4
ㄖㄥ reng
ㄖㄥˇ reng3
ㄖㄥˊ reng2
ㄖㄥˋ reng4
ㄖㄨˇ ru3
ㄖㄨˊ ru2
ㄖㄨˋ ru4
ㄖㄨㄛˊ ruo2
ㄖㄨㄛˋ ruo4
ㄖㄨㄟˇ rui3
ㄖㄨㄟˊ rui2
ㄖㄨㄟˋ rui4
ㄖㄨㄢˇ ruan3
ㄖㄨㄢˊ ruan2
ㄖㄨㄢˋ ruan4
ㄖㄨㄣ run
ㄖㄨㄣˇ run3
ㄖㄨㄣˊ run2
ㄖㄨㄣˋ run4
ㄖㄨㄥˇ rong3
ㄖㄨㄥˊ rong2
ㄖㄨㄥˋ rong4
ㄗ zi
ㄗˇ zi3
ㄗˊ zi2
ㄗˋ zi4
ㄗ˙ zi5
ㄗㄚ za
ㄗㄚˇ za3
ㄗㄚˊ za2
ㄗㄛˊ zo2
ㄗㄜˇ ze3
ㄗㄜˊ ze2
ㄗㄜˋ ze4
ㄗㄞ zai
ㄗㄞˇ zai3
ㄗㄞˋ zai4
ㄗㄟˊ zei2
ㄗㄠ zao
ㄗㄠˇ zao3
ㄗㄠˊ zao2
ㄗㄠˋ zao4
ㄗㄡ zou
ㄗㄡˇ zou3
ㄗㄡˋ zou4
ㄗㄢ zan
ㄗㄢˇ zan3
ㄗㄢˊ zan2
ㄗㄢˋ zan4
ㄗㄣ zen
ㄗㄣˇ zen3
ㄗㄣˋ zen4
ㄗㄤ zang
ㄗㄤˇ zang3
ㄗㄤˋ zang4
ㄗㄥ zeng
ㄗㄥˇ zeng3
ㄗㄥˋ zeng4
ㄗㄧ zi
ㄗㄨ zu
ㄗㄨˇ zu3
ㄗㄨˊ zu2
ㄗㄨˋ zu4
ㄗㄨㄛ zuo
ㄗㄨㄛˇ zuo3
ㄗㄨㄛˊ zuo2
ㄗㄨㄛˋ zuo4
ㄗㄨㄛ˙ zuo5
ㄗㄨㄟ zui
ㄗㄨㄟˇ zui3
ㄗㄨㄟˋ zui4
ㄗㄨㄢ zuan
ㄗㄨㄢˇ zuan3
ㄗㄨㄢˋ zuan4
ㄗㄨㄣ zun
ㄗㄨㄣˇ zun3
ㄗㄨㄣˋ zun4
ㄗㄨㄥ zong
ㄗㄨㄥˇ zong3
ㄗㄨㄥˊ zong2
ㄗㄨㄥˋ zong4
ㄘ ci
ㄘˇ ci3
ㄘˊ ci2
ㄘˋ ci4
ㄘㄚ ca
ㄘㄚˇ ca3
ㄘㄚˋ ca4
ㄘㄜ ce
ㄘㄜˋ ce4
ㄘㄞ cai
ㄘㄞˇ cai3
ㄘㄞˊ cai2
ㄘㄞˋ cai4
ㄘㄠ cao
ㄘㄠˇ cao3
ㄘㄠˊ cao2
ㄘㄠˋ cao4
ㄘㄡ cou
ㄘㄡˇ cou3
ㄘㄡˊ cou2
ㄘㄡˋ cou4
ㄘㄢ can
ㄘㄢˇ can3
ㄘㄢˊ can2
ㄘㄢˋ can4
ㄘㄣ cen
ㄘㄣˊ cen2
ㄘㄤ cang
ㄘㄤˇ cang3
ㄘㄤˊ cang2
ㄘㄤˋ cang4
ㄘㄥ ceng
ㄘㄥˇ ceng3
ㄘㄥˊ ceng2
ㄘㄥˋ ceng4
ㄘㄧˊ ci2
ㄘㄨ cu
ㄘㄨˇ cu3
ㄘㄨˊ cu2
ㄘㄨˋ cu4
ㄘㄨㄛ cuo
ㄘㄨㄛˇ cuo3
ㄘㄨㄛˊ cuo2
ㄘㄨㄛˋ cuo4
ㄘㄨㄟ cui
ㄘㄨㄟˇ cui3
ㄘㄨㄟˊ cui2
ㄘㄨㄟˋ cui4
ㄘㄨㄢ cuan
ㄘㄨㄢˊ cuan2
ㄘㄨㄢˋ cuan4
ㄘㄨㄣ cun
ㄘㄨㄣˇ cun3
ㄘㄨㄣˊ cun2
ㄘㄨㄣˋ cun4
ㄘㄨㄥ cong
ㄘㄨㄥˇ cong3
ㄘㄨㄥˊ cong2
ㄘㄨㄥˋ cong4
ㄙ si
ㄙˇ si3
ㄙˋ si4
ㄙ˙ si5
ㄙㄚ sa
ㄙㄚˇ sa3
ㄙㄚˋ sa4
ㄙㄚ˙ sa5
ㄙㄛˋ so4
ㄙㄜ se
ㄙㄜˋ se4
ㄙㄞ sai
ㄙㄞˇ sai3
ㄙㄞˊ sai2
ㄙㄞˋ sai4
ㄙㄟ sei
ㄙㄠ sao
ㄙㄠˇ sao3
ㄙㄠˋ sao4
ㄙㄡ sou
ㄙㄡˇ sou3
ㄙㄡˋ sou4
ㄙㄢ san
ㄙㄢˇ san3
ㄙㄢˋ san4
ㄙㄣ sen
ㄙㄣˇ sen3
ㄙㄤ sang
ㄙㄤˇ sang3
ㄙㄤˋ sang4
ㄙㄥ seng
ㄙㄥˋ seng4
ㄙㄨ su
ㄙㄨˇ su3
ㄙㄨˊ su2
ㄙㄨˋ su4
ㄙㄨㄛ suo
ㄙㄨㄛˇ suo3
ㄙㄨㄛˊ suo2
ㄙㄨㄛˋ suo4
ㄙㄨㄟ sui
ㄙㄨㄟˇ sui3
ㄙㄨㄟˊ sui2
ㄙㄨㄟˋ sui4
ㄙㄨㄢ suan
ㄙㄨㄢˇ suan3
ㄙㄨㄢˋ suan4
ㄙㄨㄣ sun
ㄙㄨㄣˇ sun3
ㄙㄨㄣˋ sun4
ㄙㄨㄥ song
ㄙㄨㄥˇ song3
ㄙㄨㄥˊ song2
ㄙㄨㄥˋ song4
ㄚ a
ㄚˊ a2
ㄚˋ a4
ㄚ˙ a5
ㄛ o
ㄛˇ o3
ㄛˊ o2
ㄜ e
ㄜˇ e3
ㄜˊ e2
ㄜˋ e4
ㄝ e
ㄝˇ e3
ㄝˊ e2
ㄝˋ e4
ㄝ˙ e5
ㄞ ai
ㄞˇ ai3
ㄞˊ ai2
ㄞˋ ai4
ㄟ ei
ㄟˋ ei4
ㄠ ao
ㄠˇ ao3
ㄠˊ ao2
ㄠˋ ao4
ㄡ ou
ㄡˇ ou3
ㄡˊ ou2
ㄡˋ ou4
ㄡ˙ ou5
ㄢ an
ㄢˇ an3
ㄢˊ an2
ㄢˋ an4
ㄣ en
ㄣˇ en3
ㄣˊ en2
ㄣˋ en4
ㄣ˙ en5
ㄤ ang
ㄤˇ ang3
ㄤˊ ang2
ㄤˋ ang4
ㄥ eng
ㄦ er
ㄦˇ er3
ㄦˊ er2
ㄦˋ er4
ㄦ˙ er5
ㄧ yi
ㄧˇ yi3
ㄧˊ yi2
ㄧˋ yi4
ㄧㄚ ya
ㄧㄚˇ ya3
ㄧㄚˊ ya2
ㄧㄚˋ ya4
ㄧㄛ yo
ㄧㄛ˙ yo5
ㄧㄝ ye
ㄧㄝˇ ye3
ㄧㄝˊ ye2
ㄧㄝˋ ye4
ㄧㄞˊ yai2
ㄧㄠ yao
ㄧㄠˇ yao3
ㄧㄠˊ yao2
ㄧㄠˋ yao4
ㄧㄡ you
ㄧㄡˇ you3
ㄧㄡˊ you2
ㄧㄡˋ you4
ㄧㄢ yan
ㄧㄢˇ yan3
ㄧㄢˊ yan2
ㄧㄢˋ yan4
ㄧㄣ yin
ㄧㄣˇ yin3
ㄧㄣˊ yin2
ㄧㄣˋ yin4
ㄧㄤ yang
ㄧㄤˇ yang3
ㄧㄤˊ yang2
ㄧㄤˋ yang4
ㄧㄥ ying
ㄧㄥˇ ying3
ㄧㄥˊ ying2
ㄧㄥˋ ying4
ㄨ wu
ㄨˇ wu3
ㄨˊ wu2
ㄨˋ wu4
ㄨㄚ wa
ㄨㄚˇ wa3
ㄨㄚˊ wa2
ㄨㄚˋ wa4
ㄨㄚ˙ wa5
ㄨㄛ wo
ㄨㄛˇ wo3
ㄨㄛˋ wo4
ㄨㄜ we
ㄨㄞ wai
ㄨㄞˇ wai3
ㄨㄞˋ wai4
ㄨㄞ˙ wai5
ㄨㄟ wei
ㄨㄟˇ wei3
ㄨㄟˊ wei2
ㄨㄟˋ wei4
ㄨㄢ wan
ㄨㄢˇ wan3
ㄨㄢˊ wan2
ㄨㄢˋ wan4
ㄨㄣ wen
ㄨㄣˇ wen3
ㄨㄣˊ wen2
ㄨㄣˋ wen4
ㄨㄤ wang
ㄨㄤˇ wang3
ㄨㄤˊ wang2
ㄨㄤˋ wang4
ㄨㄥ weng
ㄨㄥˇ weng3
ㄨㄥˋ weng4
ㄩ yu
ㄩˇ yu3
ㄩˊ yu2
ㄩˋ yu4
ㄩㄝ yue
ㄩㄝˇ yue3
ㄩㄝˋ yue4
ㄩㄢ yuan
ㄩㄢˇ yuan3
ㄩㄢˊ yuan2
ㄩㄢˋ yuan4
ㄩㄣ yun
ㄩㄣˇ yun3
ㄩㄣˊ yun2
ㄩㄣˋ yun4
ㄩㄥ yong
ㄩㄥˇ yong3
ㄩㄥˊ yong2
ㄩㄥˋ yong4
