ㄅ b
ㄈㄤ fang
ㄈㄤˇ fang3
ㄈㄤˊ fang2
ㄈㄤˋ fang4
ㄈㄥ feng
ㄈㄥˇ feng3
ㄈㄥˊ feng2
ㄈㄥˋ feng4
ㄈㄧㄠˋ fiao4
ㄈㄨ fu
ㄈㄨˇ fu3
ㄈㄨˊ fu2
ㄈㄨˋ fu4
ㄈㄨㄥˋ fong4
ㄉ d
ㄉㄚ da
ㄉㄚˇ da3
ㄉㄚˊ da2
ㄉㄚˋ da4
ㄉㄚ˙ da5
ㄉㄜ de
ㄉㄜˊ de2
ㄉㄜ˙ de5
ㄉㄞ dai
ㄉㄞˇ dai3
ㄉㄞˋ dai4
ㄉㄟˇ dei3
ㄉㄠ dao
ㄉㄠˇ dao3
ㄉㄠˊ dao2
ㄉㄠˋ dao4
ㄉㄡ dou
ㄉㄡˇ dou3
ㄉㄡˊ dou2
ㄉㄡˋ dou4
ㄉㄢ dan
ㄉㄢˇ dan3
ㄉㄢˊ dan2
ㄉㄢˋ dan4
ㄉㄣˋ den4
ㄉㄤ dang
ㄉㄤˇ dang3
ㄉㄤˋ dang4
ㄉㄥ deng
ㄉㄥˇ deng3
ㄉㄥˋ deng4
ㄉㄧ di
ㄉㄧˇ di3
ㄉㄧˊ di2
ㄉㄧˋ di4
ㄉㄧㄚ dia
ㄉㄧㄝ die
ㄉㄧㄝˇ die3
ㄉㄧㄝˊ die2
ㄉㄧㄝˋ die4
ㄉㄧㄠ diao
ㄉㄧㄠˇ diao3
ㄉㄧㄠˊ diao2
ㄉㄧㄠˋ diao4
ㄉㄧㄡ diu
ㄉㄧㄢ dian
ㄉㄧㄢˇ dian3
ㄉㄧㄢˊ dian2
ㄉㄧㄢˋ dian4
ㄉㄧㄥ ding
ㄉㄧㄥˇ ding3
ㄉㄧㄥˊ ding2
ㄉㄧㄥˋ ding4
ㄉㄨ du
ㄉㄨˇ du3
ㄉㄨˊ du2
ㄉㄨˋ du4
ㄉㄨㄛ duo
ㄉㄨㄛˇ duo3
ㄉㄨㄛˊ duo2
ㄉㄨㄛˋ duo4
ㄉㄨㄛ˙ duo5
ㄉㄨㄟ dui
ㄉㄨㄟˇ dui3
ㄉㄨㄟˋ dui4
ㄉㄨㄢ duan
ㄉㄨㄢˇ duan3
ㄉㄨㄢˋ duan4
ㄉㄨㄣ dun
ㄉㄨㄣˇ dun3
ㄉㄨㄣˋ dun4
ㄉㄨㄥ dong
ㄉㄨㄥˇ dong3
ㄉㄨㄥˋ dong4
ㄊ t
ㄊㄚ ta
ㄊㄚˇ ta3
ㄊㄚˊ ta2
ㄊㄚˋ ta4
ㄊㄜˋ te4
ㄊㄞ tai
ㄊㄞˇ tai3
ㄊㄞˊ tai2
ㄊㄞˋ tai4
ㄊㄞ˙ tai5
ㄊㄠ tao
ㄊㄠˇ tao3
ㄊㄠˊ tao2
ㄊㄠˋ tao4
ㄊㄠ˙ tao5
ㄊㄡ tou
ㄊㄡˇ tou3
ㄊㄡˊ tou2
ㄊㄡˋ tou4
ㄊㄡ˙ tou5
