ˇ 
ˊ 
ˋ 
˙ 
ㄅ b
ㄈㄨˊ fu
ㄈㄨˋ fu
ㄈㄨㄥˋ fong
ㄉ d
ㄉㄚ da
ㄉㄚˇ da
ㄉㄚˊ da
ㄉㄚˋ da
ㄉㄚ˙ da
ㄉㄜ de
ㄉㄜˊ de
ㄉㄜ˙ de
ㄉㄞ dai
ㄉㄞˇ dai
ㄉㄞˋ dai
ㄉㄟˇ dei
ㄉㄠ dao
ㄉㄠˇ dao
ㄉㄠˊ dao
ㄉㄠˋ dao
ㄉㄡ dou
ㄉㄡˇ dou
ㄉㄡˊ dou
ㄉㄡˋ dou
ㄉㄢ dan
ㄉㄢˇ dan
ㄉㄢˊ dan
ㄉㄢˋ dan
ㄉㄣˋ den
ㄉㄤ dang
ㄉㄤˇ dang
ㄉㄤˋ dang
ㄉㄥ deng
ㄉㄥˇ deng
ㄉㄥˋ deng
ㄉㄧ di
ㄉㄧˇ di
ㄉㄧˊ di
ㄉㄧˋ di
ㄉㄧㄚ dia
ㄉㄧㄝ die
ㄉㄧㄝˇ die
ㄉㄧㄝˊ die
ㄉㄧㄝˋ die
ㄉㄧㄠ diao
ㄉㄧㄠˇ diao
ㄉㄧㄠˊ diao
ㄉㄧㄠˋ diao
ㄉㄧㄡ diu
ㄉㄧㄢ dian
ㄉㄧㄢˇ dian
ㄉㄧㄢˊ dian
ㄉㄧㄢˋ dian
ㄉㄧㄥ ding
ㄉㄧㄥˇ ding
ㄉㄧㄥˊ ding
ㄉㄧㄥˋ ding
ㄉㄨ du
ㄉㄨˇ du
ㄉㄨˊ du
ㄉㄨˋ du
ㄉㄨㄛ duo
ㄉㄨㄛˇ duo
ㄉㄨㄛˊ duo
ㄉㄨㄛˋ duo
ㄉㄨㄛ˙ duo
ㄉㄨㄟ dui
ㄉㄨㄟˇ dui
ㄉㄨㄟˋ dui
ㄉㄨㄢ duan
ㄉㄨㄢˇ duan
ㄉㄨㄢˋ duan
ㄉㄨㄣ dun
ㄉㄨㄣˇ dun
ㄉㄨㄣˋ dun
ㄉㄨㄥ dong
ㄉㄨㄥˇ dong
ㄉㄨㄥˋ dong
ㄊ t
ㄊㄚ ta
ㄊㄚˇ ta
ㄊㄚˊ ta
ㄊㄚˋ ta
ㄊㄜˋ te
ㄊㄞ tai
ㄊㄞˇ tai
ㄊㄞˊ tai
ㄊㄞˋ tai
ㄊㄞ˙ tai
ㄊㄠ tao
ㄊㄠˇ tao
ㄊㄠˊ tao
ㄊㄠˋ tao
ㄊㄠ˙ tao
ㄊㄡ tou
ㄊㄡˇ tou
ㄊㄡˊ tou
ㄊㄡˋ tou
ㄊㄡ˙ tou
ㄊㄢ tan
ㄊㄢˇ tan
ㄊㄢˊ tan
ㄊㄢˋ tan
ㄊㄤ tang
ㄊㄤˇ tang
ㄊㄤˊ tang
ㄊㄤˋ tang
ㄊㄥ teng
ㄊㄥˊ teng
ㄊㄥˋ teng
ㄊㄧ ti
ㄊㄧˇ ti
ㄊㄧˊ ti
ㄊㄧˋ ti
ㄊㄧㄝ tie
ㄊㄧㄝˇ tie
ㄊㄧㄝˊ tie
ㄊㄧㄝˋ tie
ㄊㄧㄠ tiao
ㄊㄧㄠˇ tiao
ㄊㄧㄠˊ tiao
ㄊㄧㄠˋ tiao
ㄊㄧㄢ tian
ㄊㄧㄢˇ tian
ㄊㄧㄢˊ tian
ㄊㄧㄢˋ tian
ㄊㄧㄥ ting
ㄊㄧㄥˇ ting
ㄊㄧㄥˊ ting
ㄊㄧㄥˋ ting
ㄊㄨ tu
ㄊㄨˇ tu
ㄊㄨˊ tu
ㄊㄨˋ tu
ㄊㄨㄛ tuo
ㄊㄨㄛˇ tuo
ㄊㄨㄛˊ tuo
ㄊㄨㄛˋ tuo
ㄊㄨㄟ tui
ㄊㄨㄟˇ tui
ㄊㄨㄟˊ tui
ㄊㄨㄟˋ tui
ㄊㄨㄢ tuan
ㄊㄨㄢˇ tuan
ㄊㄨㄢˊ tuan
ㄊㄨㄢˋ tuan
ㄊㄨㄣ tun
ㄊㄨㄣˇ tun
ㄊㄨㄣˊ tun
ㄊㄨㄣˋ tun
ㄊㄨㄥ tong
ㄊㄨㄥˇ tong
ㄊㄨㄥˊ tong
ㄊㄨㄥˋ tong
ㄋ n
ㄋˊ n
ㄋㄚ na
ㄋㄚˇ na
ㄋㄚˊ na
ㄋㄚˋ na
ㄋㄚ˙ na
ㄋㄜ ne
ㄋㄜˋ ne
ㄋㄜ˙ ne
ㄋㄞˇ nai
ㄋㄞˊ nai
ㄋㄞˋ nai
ㄋㄟˇ nei
ㄋㄟˊ nei
ㄋㄟˋ nei
ㄋㄠ nao
ㄋㄠˇ nao
ㄋㄠˊ nao
ㄋㄠˋ nao
ㄋㄡˇ nou
ㄋㄡˊ nou
ㄋㄡˋ nou
ㄋㄢ nan
ㄋㄢˇ nan
ㄋㄢˊ nan
ㄋㄢˋ nan
ㄋㄣˇ nen
ㄋㄣˋ nen
ㄋㄤ nang
ㄋㄤˇ nang
ㄋㄤˇ nang
ㄋㄤˊ nang
ㄋㄤˋ nang
ㄋㄤ˙ nang
ㄋㄥˇ neng
ㄋㄥˊ neng
ㄋㄥˋ neng
ㄋㄧ ni
ㄋㄧˇ ni
ㄋㄧˊ ni
ㄋㄧˋ ni
ㄋㄧㄝ nie
ㄋㄧㄝˇ nie
ㄋㄧㄝˊ nie
ㄋㄧㄝˋ nie
ㄋㄧㄠˇ niao
ㄋㄧㄠˋ niao
ㄋㄧㄡ niu
ㄋㄧㄡˇ niu
ㄋㄧㄡˊ niu
ㄋㄧㄡˋ niu
ㄋㄧㄢ nian
ㄋㄧㄢˇ nian
ㄋㄧㄢˊ nian
ㄋㄧㄢˋ nian
ㄋㄧㄣ nin
ㄋㄧㄣˇ nin
ㄋㄧㄣˊ nin
ㄋㄧㄣˋ nin
ㄋㄧㄤˇ niang
ㄋㄧㄤˊ niang
ㄋㄧㄤˋ niang
ㄋㄧㄥˇ ning
ㄋㄧㄥˊ ning
ㄋㄧㄥˋ ning
ㄋㄨˇ nu
ㄋㄨˊ nu
ㄋㄨˋ nu
ㄋㄨㄛˇ nuo
ㄋㄨㄛˊ nuo
ㄋㄨㄛˋ nuo
ㄋㄨㄟˊ nui
ㄋㄨㄢˇ nuan
ㄋㄨㄢˋ nuan
ㄋㄨㄣˊ nun
ㄋㄨㄥˇ nong
ㄋㄨㄥˊ nong
ㄋㄨㄥˋ nong
ㄋㄩˇ nu
ㄋㄩˊ nu
ㄋㄩˋ nu
ㄋㄩㄝˋ nue
ㄌ l
ㄌㄚ la
ㄌㄚˇ la
ㄌㄚˊ la
ㄌㄚˋ la
