ㄅ b
ㄒㄩㄝ xue
ㄒㄩㄢ xuan
ㄒㄩㄣ xun
ㄒㄩㄥ xiong
ㄓ zhi
ㄓㄚ zha
ㄓㄜ zhe
ㄓㄞ zhai
ㄓㄠ zhao
ㄓㄡ zhou
ㄓㄢ zhan
ㄓㄣ zhen
ㄓㄤ zhang
ㄓㄥ zheng
ㄓㄨ zhu
ㄓㄨㄚ zhua
ㄓㄨㄛ zhuo
ㄓㄨㄞ zhuai
ㄓㄨㄟ zhui
ㄓㄨㄢ zhuan
ㄓㄨㄣ zhun
ㄓㄨㄤ zhuang
ㄓㄨㄥ zhong
ㄔ chi
ㄔㄚ cha
ㄔㄜ che
ㄔㄞ chai
ㄔㄠ chao
ㄔㄡ chou
ㄔㄢ chan
ㄔㄣ chen
ㄔㄤ chang
ㄔㄥ cheng
ㄔㄨ chu
ㄔㄨㄚ chua
ㄔㄨㄛ chuo
ㄔㄨㄞ chuai
ㄔㄨㄟ chui
ㄔㄨㄢ chuan
ㄔㄨㄣ chun
ㄔㄨㄤ chuang
ㄔㄨㄥ chong
ㄕ shi
ㄕㄚ sha
ㄕㄜ she
ㄕㄞ shai
ㄕㄟ shei
ㄕㄠ shao
ㄕㄡ shou
ㄕㄢ shan
ㄕㄣ shen
ㄕㄤ shang
ㄕㄥ sheng
ㄕㄨ shu
ㄕㄨㄚ shua
ㄕㄨㄛ shuo
ㄕㄨㄞ shuai
ㄕㄨㄟ shui
ㄕㄨㄢ shuan
ㄕㄨㄣ shun
ㄕㄨㄤ shuang
ㄖ ri
ㄖㄜ re
ㄖㄠ rao
ㄖㄡ rou
ㄖㄢ ran
ㄖㄣ ren
ㄖㄤ rang
ㄖㄥ reng
ㄖㄨ ru
ㄖㄨㄛ ruo
ㄖㄨㄟ rui
ㄖㄨㄢ ruan
ㄖㄨㄣ run
ㄖㄨㄥ rong
ㄗ zi
ㄗㄚ za
ㄗㄜ ze
ㄗㄞ zai
ㄗㄟ zei
ㄗㄠ zao
ㄗㄡ zou
ㄗㄢ zan
ㄗㄣ zen
ㄗㄤ zang
ㄗㄥ zeng
ㄗㄨ zu
ㄗㄨㄛ zuo
ㄗㄨㄟ zui
ㄗㄨㄢ zuan
ㄗㄨㄣ zun
ㄗㄨㄥ zong
ㄘ ci
ㄘㄚ ca
